Date,Origin,Destination,Airline,Price
2025-04-13,ICN,LHR,루프트한자,1263800
2025-04-13,ICN,LHR,KLM,1264900
2025-04-13,ICN,LHR,에어프랑스,1336400
2025-04-13,ICN,LHR,아시아나항공,1596800
2025-04-14,ICN,LHR,루프트한자,1151400
2025-04-14,ICN,LHR,루프트한자,1167400
2025-04-14,ICN,LHR,핀란드항공,1266900
2025-04-14,ICN,LHR,아시아나항공,1446800
2025-04-15,ICN,LHR,루프트한자,1156100
2025-04-15,ICN,LHR,에어프랑스,1265100
2025-04-15,ICN,LHR,아시아나항공,1496800
2025-04-16,ICN,LHR,에어프랑스,1116800
2025-04-16,ICN,LHR,중국남방항공,1175300
2025-04-16,ICN,LHR,루프트한자,1190100
2025-04-17,ICN,LHR,카타르항공,1152239
2025-04-17,ICN,LHR,중국남방항공,1175300
2025-04-17,ICN,LHR,루프트한자,1325000
2025-04-17,ICN,LHR,LOT 폴란드항공,1503400
2025-04-17,ICN,LHR,"아시아나항공, 영국항공",1540800
2025-04-18,ICN,LHR,루프트한자,1190100
2025-04-18,ICN,LHR,핀란드항공,1226400
2025-04-18,ICN,LHR,KLM,1357800
2025-04-19,ICN,LHR,LOT 폴란드항공,1348400
2025-04-19,ICN,LHR,에어프랑스,1358000
2025-04-19,ICN,LHR,루프트한자,1362700
2025-04-20,ICN,LHR,루프트한자,1671900
2025-04-20,ICN,LHR,"아시아나항공, 영국항공",1680900
2025-04-20,ICN,LHR,핀란드항공,2067600
2025-04-21,ICN,LHR,"산둥항공, 베이징 캐피탈항공하이난항공",1627939
2025-04-21,ICN,LHR,"아시아나항공, 영국항공",1944700
2025-04-21,ICN,LHR,핀란드항공,2116000
2025-04-21,ICN,LHR,에어프랑스,2822700
2025-04-22,ICN,LHR,"아시아나항공, 영국항공",1640239
2025-04-22,ICN,LHR,"터키항공, 영국항공아시아나항공",1640239
2025-04-22,ICN,LHR,핀란드항공,1817600
2025-04-23,ICN,LHR,"아시아나항공, 영국항공",1576600
2025-04-23,ICN,LHR,루프트한자,1598200
2025-04-23,ICN,LHR,에티하드항공,1744500
2025-04-24,ICN,LHR,중국남방항공,1535300
2025-04-24,ICN,LHR,에어차이나,1566780
2025-04-24,ICN,LHR,에티하드항공,1744500
2025-04-25,ICN,LHR,자가 환승 에어차이나,1706126
2025-04-25,ICN,LHR,에어프랑스,1931200
2025-04-25,ICN,LHR,"아시아나항공, 영국항공",1955900
2025-04-26,ICN,LHR,심천항공,1252449
2025-04-26,ICN,LHR,에티하드항공,1849300
2025-04-26,ICN,LHR,"아시아나항공, 영국항공",2169800
2025-04-26,ICN,LHR,KLM,2353600
2025-04-26,ICN,LHR,루프트한자,2417100
2025-04-27,ICN,LHR,에어차이나,1560305
2025-04-27,ICN,LHR,캐세이패시픽항공,1965500
2025-04-27,ICN,LHR,"아시아나항공, 영국항공",2029300
2025-04-27,ICN,LHR,에티하드항공,2237900
2025-04-27,ICN,LHR,KLM,2320600
2025-04-28,ICN,LHR,에티하드항공,1606700
2025-04-28,ICN,LHR,아시아나항공,1853572
2025-04-28,ICN,LHR,루프트한자,1885000
2025-04-29,ICN,LHR,에티하드항공,1577600
2025-04-29,ICN,LHR,중국남방항공,1683300
2025-04-29,ICN,LHR,아시아나항공,1877867
2025-04-30,ICN,LHR,에어차이나,1783895
2025-04-30,ICN,LHR,"아시아나항공, 영국항공",2051626
2025-04-30,ICN,LHR,에어프랑스,2079500
2025-05-01,ICN,LHR,"산둥항공, 베이징 캐피탈항공하이난항공",1627600
2025-05-01,ICN,LHR,에어차이나,1651044
2025-05-01,ICN,LHR,에미레이트항공콴타스항공,2441000
2025-05-01,ICN,LHR,카타르항공영국항공,2448700
2025-05-01,ICN,LHR,"아시아나항공, 영국항공",2452400
2025-05-02,ICN,LHR,에어차이나,1265414
2025-05-02,ICN,LHR,에어차이나,1576502
2025-05-02,ICN,LHR,에미레이트항공,2054000
2025-05-02,ICN,LHR,"아시아나항공, 영국항공",2069800
2025-05-03,ICN,LHR,카타르항공,1323939
2025-05-03,ICN,LHR,에어차이나,1474427
2025-05-03,ICN,LHR,아시아나항공,2046800
2025-05-04,ICN,LHR,카타르항공,1323939
2025-05-04,ICN,LHR,에어차이나,1375591
2025-05-04,ICN,LHR,"아시아나항공, 영국항공",1693400
2025-05-05,ICN,LHR,에티오피아항공,1266243
2025-05-05,ICN,LHR,중화항공,1365100
2025-05-05,ICN,LHR,에미레이트항공,1377215
2025-05-05,ICN,LHR,에미레이트항공,1398200
2025-05-05,ICN,LHR,"터키항공, 영국항공아시아나항공",1819800
2025-05-06,ICN,LHR,에미레이트항공,1310785
2025-05-06,ICN,LHR,에티하드항공,1439200
2025-05-06,ICN,LHR,대한항공버진 애틀랜틱항공,1999600
2025-05-07,ICN,LHR,동방항공,847539
2025-05-07,ICN,LHR,베트남항공,1036958
2025-05-07,ICN,LHR,중국남방항공,1175300
2025-05-07,ICN,LHR,아시아나항공,1446800
2025-05-08,ICN,LHR,"상하이항공, 동방항공",757400
2025-05-08,ICN,LHR,동방항공,1010400
2025-05-08,ICN,LHR,아시아나항공,1396800
2025-05-09,ICN,LHR,동방항공,820900
2025-05-09,ICN,LHR,중국남방항공,847385
2025-05-09,ICN,LHR,아시아나항공,1496800
2025-05-10,ICN,LHR,동방항공,1010400
2025-05-10,ICN,LHR,중국남방항공,1175300
2025-05-10,ICN,LHR,아시아나항공,1596800
2025-05-10,ICN,LHR,대한항공버진 애틀랜틱항공,1624600
2025-05-11,ICN,LHR,동방항공,1010400
2025-05-11,ICN,LHR,아시아나항공,1496800
2025-05-11,ICN,LHR,대한항공,1624600
2025-05-12,ICN,LHR,에티하드항공,1097400
2025-05-12,ICN,LHR,에티하드항공아시아나항공,1126400
2025-05-12,ICN,LHR,핀란드항공,1342600
2025-05-12,ICN,LHR,아시아나항공,1396800
2025-05-13,ICN,LHR,에티하드항공,1044400
2025-05-13,ICN,LHR,자가 환승 중국남방항공,1079095
2025-05-13,ICN,LHR,아시아나항공,1396800
2025-05-14,ICN,LHR,중국남방항공,977800
2025-05-14,ICN,LHR,스위스항공운항사: 발트항공,1063300
2025-05-14,ICN,LHR,아시아나항공,1396800
2025-05-15,ICN,LHR,루프트한자,943000
2025-05-15,ICN,LHR,에어차이나,1009414
2025-05-15,ICN,LHR,동방항공,1010400
2025-05-15,ICN,LHR,아시아나항공,1396800
2025-05-15,ICN,LHR,대한항공버진 애틀랜틱항공,1399600
2025-05-16,ICN,LHR,에어차이나,1001312
2025-05-16,ICN,LHR,중국남방항공,1175300
2025-05-16,ICN,LHR,아시아나항공,1396800
2025-05-17,ICN,LHR,에어차이나,1017527
2025-05-17,ICN,LHR,중국남방항공,1143300
2025-05-17,ICN,LHR,아시아나항공,1546800
2025-05-18,ICN,LHR,동방항공,820900
2025-05-18,ICN,LHR,자가 환승 에어차이나,1242726
2025-05-18,ICN,LHR,루프트한자,1247800
2025-05-18,ICN,LHR,LOT 폴란드항공,1273400
2025-05-18,ICN,LHR,아시아나항공,1496800
2025-05-19,ICN,LHR,스위스항공운항사: 발트항공,1296400
2025-05-19,ICN,LHR,아시아나항공,1446800
2025-05-19,ICN,LHR,핀란드항공,1482600
2025-05-19,ICN,LHR,대한항공버진 애틀랜틱항공,1874600
2025-05-20,ICN,LHR,중국남방항공,1105007
2025-05-20,ICN,LHR,에티하드항공아시아나항공,1169200
2025-05-20,ICN,LHR,아시아나항공,1496800
2025-05-21,ICN,LHR,스위스항공운항사: 발트항공,923500
2025-05-21,ICN,LHR,루프트한자,961800
2025-05-21,ICN,LHR,아시아나항공,1396800
2025-05-22,ICN,LHR,동방항공,757400
2025-05-22,ICN,LHR,중국남방항공,865300
2025-05-22,ICN,LHR,루프트한자,943000
2025-05-22,ICN,LHR,에어차이나,1011034
2025-05-23,ICN,LHR,중국남방항공,865300
2025-05-23,ICN,LHR,루프트한자,974000
2025-05-23,ICN,LHR,에어차이나,1004556
2025-05-24,ICN,LHR,스위스항공운항사: 발트항공,909500
2025-05-24,ICN,LHR,루프트한자,981700
2025-05-24,ICN,LHR,에어차이나,1014271
2025-05-24,ICN,LHR,중국남방항공,1030800
2025-05-25,ICN,LHR,루프트한자,1148300
2025-05-25,ICN,LHR,에티하드항공,1241800
2025-05-25,ICN,LHR,KLM,1264800
2025-05-25,ICN,LHR,아시아나항공,1596800
2025-05-25,ICN,LHR,대한항공버진 애틀랜틱항공,1724600
2025-05-26,ICN,LHR,에어차이나,1012664
2025-05-26,ICN,LHR,중국남방항공,1022385
2025-05-26,ICN,LHR,스위스항공운항사: 발트항공,1083400
2025-05-26,ICN,LHR,KLM,1264800
2025-05-26,ICN,LHR,대한항공버진 애틀랜틱항공,1599600
2025-05-27,ICN,LHR,에티하드항공,1015300
2025-05-27,ICN,LHR,에티하드항공,1044400
2025-05-27,ICN,LHR,중국남방항공,1079086
2025-05-27,ICN,LHR,루프트한자,1106000
2025-05-27,ICN,LHR,아시아나항공,1496800
2025-05-28,ICN,LHR,중국남방항공,955300
2025-05-28,ICN,LHR,스위스항공운항사: 발트항공,959100
2025-05-28,ICN,LHR,아시아나항공,1396800
2025-05-29,ICN,LHR,루프트한자,1132300
2025-05-29,ICN,LHR,아시아나항공,1396800
2025-05-29,ICN,LHR,대한항공버진 애틀랜틱항공,1399600
2025-05-30,ICN,LHR,중국남방항공,1112500
2025-05-30,ICN,LHR,아시아나항공,1446800
2025-05-30,ICN,LHR,대한항공버진 애틀랜틱항공,1498053
2025-05-31,ICN,LHR,중국남방항공,1249800
2025-05-31,ICN,LHR,동방항공,1258900
2025-05-31,ICN,LHR,아시아나항공,1546800
2025-05-31,ICN,LHR,대한항공버진 애틀랜틱항공,1724600
2025-06-01,ICN,LHR,동방항공,884400
2025-06-01,ICN,LHR,"상하이항공, 동방항공",884400
2025-06-01,ICN,LHR,아시아나항공,1546800
2025-06-02,ICN,LHR,자가 환승 중국남방항공,1179536
2025-06-02,ICN,LHR,스위스항공운항사: 발트항공,1248100
2025-06-02,ICN,LHR,아시아나항공,1446800
2025-06-03,ICN,LHR,중국남방항공,1022800
2025-06-03,ICN,LHR,에티하드항공,1325800
2025-06-03,ICN,LHR,아시아나항공,1571800
2025-06-04,ICN,LHR,동방항공,757400
2025-06-04,ICN,LHR,에티하드항공,1116200
2025-06-04,ICN,LHR,아시아나항공,1396800
2025-06-05,ICN,LHR,루프트한자,1193600
2025-06-05,ICN,LHR,LOT 폴란드항공,1273400
2025-06-05,ICN,LHR,아시아나항공,1446800
2025-06-05,ICN,LHR,대한항공버진 애틀랜틱항공,1499600
