Date,Origin,Destination,Airline,Price
2025-04-13,ICN,HND,피치항공,582600
2025-04-13,ICN,HND,아시아나항공,635500
2025-04-13,ICN,HND,"대한항공, 일본항공",666700
2025-04-14,ICN,HND,피치항공,492555
2025-04-14,ICN,HND,대한항공일본항공,513619
2025-04-14,ICN,HND,"대한항공, 일본항공",652800
2025-04-15,ICN,HND,피치항공,524959
2025-04-15,ICN,HND,아시아나항공전일본공수,544402
2025-04-15,ICN,HND,대한항공일본항공,567085
2025-04-16,ICN,HND,피치항공,547651
2025-04-16,ICN,HND,아시아나항공전일본공수,581700
2025-04-16,ICN,HND,대한항공일본항공,608200
2025-04-17,ICN,HND,피치항공,489315
2025-04-17,ICN,HND,아시아나항공전일본공수,571700
2025-04-17,ICN,HND,대한항공일본항공,573568
2025-04-18,ICN,HND,피치항공,435846
2025-04-18,ICN,HND,아시아나항공전일본공수,446700
2025-04-18,ICN,HND,대한항공일본항공,503896
2025-04-19,ICN,HND,피치항공,328910
2025-04-19,ICN,HND,아시아나항공전일본공수,496700
2025-04-19,ICN,HND,대한항공일본항공,508100
2025-04-20,ICN,HND,피치항공,482835
2025-04-20,ICN,HND,아시아나항공전일본공수,616700
2025-04-20,ICN,HND,대한항공일본항공,698100
2025-04-21,ICN,HND,피치항공,427748
2025-04-21,ICN,HND,대한항공일본항공,533065
2025-04-21,ICN,HND,아시아나항공전일본공수,536305
2025-04-21,ICN,HND,"대한항공, 일본항공",652800
2025-04-22,ICN,HND,피치항공,450428
2025-04-22,ICN,HND,아시아나항공전일본공수,461700
2025-04-22,ICN,HND,대한항공일본항공,565000
2025-04-23,ICN,HND,아시아나항공전일본공수,481700
2025-04-23,ICN,HND,피치항공,515242
2025-04-23,ICN,HND,대한항공일본항공,553100
2025-04-24,ICN,HND,피치항공,408301
2025-04-24,ICN,HND,아시아나항공전일본공수,511700
2025-04-24,ICN,HND,대한항공일본항공,524959
2025-04-25,ICN,HND,피치항공,322431
2025-04-25,ICN,HND,아시아나항공전일본공수,386700
2025-04-25,ICN,HND,대한항공일본항공,508100
2025-04-26,ICN,HND,피치항공,299751
2025-04-26,ICN,HND,아시아나항공전일본공수,386700
2025-04-26,ICN,HND,대한항공일본항공,388100
2025-04-27,ICN,HND,피치항공,379200
2025-04-27,ICN,HND,아시아나항공전일본공수,386700
2025-04-27,ICN,HND,대한항공일본항공,388100
2025-04-28,ICN,HND,피치항공,345115
2025-04-28,ICN,HND,대한항공일본항공,388100
2025-04-28,ICN,HND,아시아나항공전일본공수,436700
2025-04-29,ICN,HND,아시아나항공전일본공수,606700
2025-04-29,ICN,HND,"대한항공, 일본항공",637800
2025-04-29,ICN,HND,피치항공,642200
2025-04-29,ICN,HND,대한항공일본항공,658100
2025-04-30,ICN,HND,피치항공,521721
2025-04-30,ICN,HND,아시아나항공전일본공수,611700
2025-04-30,ICN,HND,대한항공,673100
2025-05-01,ICN,HND,피치항공,656000
2025-05-01,ICN,HND,대한항공일본항공,712916
