Date,Origin,Destination,Airline,Price
2025-04-13,ICN,LAX,아시아나항공,988000
2025-04-13,ICN,LAX,에어캐나다,1245100
2025-04-13,ICN,LAX,하와이안항공알래스카항공,1298200
2025-04-14,ICN,LAX,유나이티드항공,696200
2025-04-14,ICN,LAX,에어프레미아,847400
2025-04-14,ICN,LAX,아시아나항공,988000
2025-04-15,ICN,LAX,유나이티드항공,696200
2025-04-15,ICN,LAX,에어프레미아,967400
2025-04-15,ICN,LAX,아시아나항공,988000
2025-04-15,ICN,LAX,대한항공델타항공,1020800
2025-04-16,ICN,LAX,유나이티드항공,696200
2025-04-16,ICN,LAX,에어프레미아,892400
2025-04-16,ICN,LAX,아시아나항공,988000
2025-04-16,ICN,LAX,대한항공델타항공,1020800
2025-04-17,ICN,LAX,에어프레미아,822400
2025-04-17,ICN,LAX,아시아나항공,988000
2025-04-17,ICN,LAX,대한항공델타항공,1020800
2025-04-18,ICN,LAX,유나이티드항공,696200
2025-04-18,ICN,LAX,에어프레미아,972400
2025-04-18,ICN,LAX,아시아나항공,988000
2025-04-19,ICN,LAX,유나이티드항공,696200
2025-04-19,ICN,LAX,유나이티드항공,770300
2025-04-19,ICN,LAX,에어프레미아,822400
2025-04-19,ICN,LAX,대한항공델타항공,1265800
2025-04-19,ICN,LAX,아시아나항공,1438000
2025-04-20,ICN,LAX,에어프레미아,1107400
2025-04-20,ICN,LAX,대한항공델타항공,1565800
2025-04-20,ICN,LAX,아시아나항공,1663000
2025-04-21,ICN,LAX,에어프레미아,897400
2025-04-21,ICN,LAX,대한항공델타항공,1190800
2025-04-21,ICN,LAX,아시아나항공,1363000
2025-04-22,ICN,LAX,에어프레미아,972400
2025-04-22,ICN,LAX,아시아나항공,988000
2025-04-22,ICN,LAX,대한항공델타항공,1190800
2025-04-23,ICN,LAX,에어프레미아,972400
2025-04-23,ICN,LAX,대한항공델타항공,1190800
2025-04-23,ICN,LAX,아시아나항공,1288000
2025-04-24,ICN,LAX,유나이티드항공,876400
2025-04-24,ICN,LAX,에어프레미아,972400
2025-04-24,ICN,LAX,아시아나항공,1288000
2025-04-24,ICN,LAX,대한항공델타항공,1365800
2025-04-25,ICN,LAX,에어프레미아,1107400
2025-04-25,ICN,LAX,아시아나항공,1463000
2025-04-25,ICN,LAX,대한항공델타항공,1615800
2025-04-26,ICN,LAX,대한항공델타항공,1265800
2025-04-26,ICN,LAX,에어프레미아,1297400
2025-04-26,ICN,LAX,아시아나항공,1663000
