Date,Origin,Destination,Airline,Price
2025-04-13,ICN,SEA,에어캐나다운항사: Air Canada Express - Jazz,1245100
2025-04-13,ICN,SEA,"아시아나항공, 알래스카항공",1482100
2025-04-13,ICN,SEA,유나이티드항공,1521200
2025-04-13,ICN,SEA,아시아나항공,1963000
2025-04-14,ICN,SEA,유나이티드항공아시아나항공,696200
2025-04-14,ICN,SEA,델타항공대한항공,830800
2025-04-14,ICN,SEA,대한항공델타항공,1115800
2025-04-15,ICN,SEA,유나이티드항공,696200
2025-04-15,ICN,SEA,유나이티드항공,696200
2025-04-15,ICN,SEA,대한항공델타항공,830800
2025-04-15,ICN,SEA,델타항공대한항공,1115800
2025-04-15,ICN,SEA,아시아나항공,1238000
2025-04-16,ICN,SEA,유나이티드항공,696200
2025-04-16,ICN,SEA,대한항공델타항공,830800
2025-04-16,ICN,SEA,아시아나항공,938000
2025-04-16,ICN,SEA,델타항공대한항공,1115800
2025-04-17,ICN,SEA,대한항공델타항공,830800
2025-04-17,ICN,SEA,아시아나항공,938000
2025-04-17,ICN,SEA,유나이티드항공,971200
2025-04-18,ICN,SEA,아시아나항공,788000
2025-04-18,ICN,SEA,대한항공델타항공,830800
2025-04-18,ICN,SEA,유나이티드항공,971200
2025-04-19,ICN,SEA,대한항공델타항공,830800
2025-04-19,ICN,SEA,유나이티드항공아시아나항공,971200
2025-04-19,ICN,SEA,아시아나항공,1638000
2025-04-20,ICN,SEA,"대한항공, 알래스카항공",1259000
2025-04-20,ICN,SEA,에어캐나다아시아나항공운항사: Air Canada Express - Jazz,1445500
2025-04-20,ICN,SEA,아시아나항공,2088000
2025-04-21,ICN,SEA,유나이티드항공,1080200
2025-04-21,ICN,SEA,"대한항공, 알래스카항공",1184000
2025-04-21,ICN,SEA,아시아나항공,1438000
2025-04-22,ICN,SEA,대한항공델타항공,830800
2025-04-22,ICN,SEA,"아시아나항공, 알래스카항공하와이안항공",1171200
2025-04-22,ICN,SEA,아시아나항공,1338000
2025-04-23,ICN,SEA,대한항공델타항공,830800
2025-04-23,ICN,SEA,아시아나항공,938000
2025-04-23,ICN,SEA,"아시아나항공, 알래스카항공하와이안항공",1171200
2025-04-24,ICN,SEA,대한항공델타항공,830800
2025-04-24,ICN,SEA,유나이티드항공,971200
2025-04-24,ICN,SEA,아시아나항공,1338000
2025-04-25,ICN,SEA,유나이티드항공,1068600
2025-04-25,ICN,SEA,아시아나항공,1338000
2025-04-25,ICN,SEA,대한항공델타항공,1790800
2025-04-25,ICN,SEA,델타항공대한항공,1790800
2025-04-26,ICN,SEA,"대한항공, 알래스카항공",1274000
2025-04-26,ICN,SEA,"대한항공, 델타항공",1274000
2025-04-26,ICN,SEA,아시아나항공,1963000
2025-04-27,ICN,SEA,"아시아나항공, 알래스카항공",1459700
2025-04-27,ICN,SEA,아시아나항공,1513000
2025-04-27,ICN,SEA,"대한항공, 델타항공",1574000
2025-04-27,ICN,SEA,대한항공델타항공,1965800
2025-04-28,ICN,SEA,델타항공대한항공,1315800
2025-04-28,ICN,SEA,아시아나항공,1563000
2025-04-28,ICN,SEA,대한항공델타항공,1565800
2025-04-29,ICN,SEA,아시아나항공,788000
2025-04-29,ICN,SEA,대한항공델타항공,815800
2025-04-29,ICN,SEA,"대한항공, 알래스카항공",1199000
2025-04-30,ICN,SEA,대한항공델타항공,1240800
2025-04-30,ICN,SEA,유나이티드항공,1415700
2025-04-30,ICN,SEA,"아시아나항공, 알래스카항공하와이안항공",1446200
2025-04-30,ICN,SEA,아시아나항공,1563000
2025-05-01,ICN,SEA,"대한항공, 델타항공",1499000
2025-05-01,ICN,SEA,아시아나항공,1720500
2025-05-01,ICN,SEA,대한항공델타항공,1915800
2025-05-02,ICN,SEA,"대한항공, 델타항공",1324000
2025-05-02,ICN,SEA,대한항공델타항공,1340800
2025-05-02,ICN,SEA,아시아나항공,1563000
2025-05-03,ICN,SEA,대한항공델타항공,940800
2025-05-03,ICN,SEA,유나이티드항공,1125300
2025-05-03,ICN,SEA,아시아나항공,1313000
2025-05-03,ICN,SEA,"아시아나항공, 알래스카항공하와이안항공",1321200
2025-05-04,ICN,SEA,유나이티드항공,901100
2025-05-04,ICN,SEA,아시아나항공,938000
2025-05-04,ICN,SEA,"아시아나항공, 알래스카항공",1198300
2025-05-04,ICN,SEA,대한항공델타항공,1315800
2025-05-04,ICN,SEA,델타항공대한항공,1690800
2025-05-05,ICN,SEA,아시아나항공,788000
2025-05-05,ICN,SEA,"아시아나항공, 알래스카항공하와이안항공",1103700
2025-05-05,ICN,SEA,대한항공델타항공,1265800
2025-05-05,ICN,SEA,델타항공대한항공,1265800
2025-05-06,ICN,SEA,유나이티드항공아시아나항공,696200
2025-05-06,ICN,SEA,아시아나항공,1082000
2025-05-06,ICN,SEA,대한항공델타항공,1115800
2025-05-07,ICN,SEA,유나이티드항공,696200
2025-05-07,ICN,SEA,아시아나항공,788000
2025-05-07,ICN,SEA,대한항공델타항공,815800
2025-05-07,ICN,SEA,델타항공대한항공,815800
2025-05-08,ICN,SEA,아시아나항공,788000
2025-05-08,ICN,SEA,대한항공델타항공,815800
2025-05-08,ICN,SEA,델타항공대한항공,815800
2025-05-09,ICN,SEA,아시아나항공,788000
2025-05-09,ICN,SEA,대한항공델타항공,815800
2025-05-09,ICN,SEA,델타항공대한항공,815800
2025-05-10,ICN,SEA,아시아나항공,788000
2025-05-10,ICN,SEA,에어캐나다운항사: Air Canada Express - Jazz,885400
2025-05-10,ICN,SEA,대한항공델타항공,1115800
2025-05-10,ICN,SEA,델타항공대한항공,1115800
2025-05-11,ICN,SEA,아시아나항공,788000
2025-05-11,ICN,SEA,델타항공대한항공,815800
2025-05-11,ICN,SEA,대한항공델타항공,940800
2025-05-12,ICN,SEA,아시아나항공,788000
2025-05-12,ICN,SEA,에어캐나다운항사: Air Canada Express - Jazz,835400
2025-05-12,ICN,SEA,대한항공델타항공,1190800
2025-05-12,ICN,SEA,델타항공대한항공,1190800
2025-05-13,ICN,SEA,아시아나항공,788000
2025-05-13,ICN,SEA,대한항공델타항공,1115800
